Top,Song_Name,Artist_Name,Date
1,El Paso,Marty Robbins,1960-01-02
2,Why,Frankie Avalon,1960-01-02
3,The Big Hurt,Miss Toni Fisher,1960-01-02
4,Running Bear,Johnny Preston,1960-01-02
5,Way Down Yonder In New Orleans,Freddie Cannon,1960-01-02
6,Heartaches By The Number,Guy Mitchell,1960-01-02
7,It's Time To Cry,Paul Anka,1960-01-02
8,Among My Souvenirs,Connie Francis,1960-01-02
9,Pretty Blue Eyes,Steve Lawrence,1960-01-02
10,"Go, Jimmy, Go",Jimmy Clanton,1960-01-02
11,We Got Love,Bobby Rydell,1960-01-02
12,Mack The Knife,Bobby Darin,1960-01-02
13,The Village Of St. Bernadette,Andy Williams,1960-01-02
14,Uh! Oh! Part 2,The Nutty Squirrels,1960-01-02
15,Sandy,Larry Hall,1960-01-02
16,Hound Dog Man,Fabian,1960-01-02
17,Scarlet Ribbons (For Her Hair),The Browns,1960-01-02
18,Smokie - Part 2,Bill Black's Combo,1960-01-02
19,Not One Minute More,Della Reese,1960-01-02
20,This Friendly World,Fabian,1960-01-02
21,In The Mood,Ernie Fields & Orch.,1960-01-02
22,The Little Drummer Boy,The Harry Simeone Chorale,1960-01-02
23,You Got What It Takes,Marv Johnson,1960-01-02
24,First Name Initial,Annette With The Afterbeats,1960-01-02
25,So Many Ways,Brook Benton,1960-01-02
26,Oh! Carol,Neil Sedaka,1960-01-02
27,Be My Guest,Fats Domino,1960-01-02
28,Tear Drop,Santo & Johnny,1960-01-02
29,Teen Angel,Mark Dinning,1960-01-02
30,Come Into My Heart,Lloyd Price and His Orchestra,1960-01-02
31,Mr. Blue,The Fleetwoods,1960-01-02
32,I Wanna Be Loved,Ricky Nelson,1960-01-02
33,Danny Boy,Conway Twitty,1960-01-02
34,Don't You Know,Della Reese,1960-01-02
35,Talk That Talk,Jackie Wilson,1960-01-02
36,Marina,Rocco Granata and the International Quintet,1960-01-02
37,Just Come Home,Hugo & Luigi,1960-01-02
38,How About That,Dee Clark,1960-01-02
39,Swingin' On A Rainbow,Frankie Avalon,1960-01-02
40,Misty,Johnny Mathis,1960-01-02
41,He'll Have To Go,Jim Reeves,1960-01-02
42,Believe Me,Royal Teens,1960-01-02
43,Dance With Me,The Drifters,1960-01-02
44,Just As Much As Ever,Bob Beckham,1960-01-02
45,The Happy Reindeer,"Dancer, Prancer And Nervous",1960-01-02
46,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,1960-01-02
47,(New In) The Ways Of Love,Tommy Edwards,1960-01-02
48,If I Had A Girl,Rod Lauren,1960-01-02
49,Mighty Good,Ricky Nelson,1960-01-02
50,What About Us,The Coasters,1960-01-02
51,Where Or When,Dion & The Belmonts,1960-01-02
52,The Clouds,The Spacemen,1960-01-02
53,Mary Don't You Weep,Stonewall Jackson,1960-01-02
54,Marina,Willy Alberti,1960-01-02
55,"(If You Cry) True Love, True Love",The Drifters,1960-01-02
56,No Love Have I,Webb Pierce,1960-01-02
57,Reveille Rock,Johnny And The Hurricanes,1960-01-02
58,Uh! Oh! Part 1,The Nutty Squirrels,1960-01-02
59,Always,Sammy Turner,1960-01-02
60,"Shimmy, Shimmy, Ko-Ko-Bop",Little Anthony And The Imperials,1960-01-02
61,The Chipmunk Song (Christmas Don't Be Late),David Seville And The Chipmunks,1960-01-02
62,Down By The Station,The Four Preps,1960-01-02
63,A Year Ago Tonight,The Crests,1960-01-02
64,Honey Hush,Joe Turner,1960-01-02
65,Lonely Blue Boy,Conway Twitty,1960-01-02
66,Wont'cha Come Home,Lloyd Price and His Orchestra,1960-01-02
67,Handy Man,Jimmy Jones,1960-01-02
68,Crazy Arms,Bob Beckham,1960-01-02
69,High School U.S.A.,Tommy Facenda,1960-01-02
70,Lucky Devil,"Carl Dobkins, Jr.",1960-01-02
71,Let's Try Again,Clyde McPhatter,1960-01-02
72,Baciare Baciare (Kissing Kissing),Dorothy Collins,1960-01-02
73,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,1960-01-02
74,Primrose Lane,Jerry Wallace With The Jewels,1960-01-02
75,This Time Of The Year,Brook Benton,1960-01-02
76,Love Potion No. 9,The Clovers,1960-01-02
77,Climb Ev'ry Mountain,Tony Bennett,1960-01-02
78,Skokiaan (South African Song),Bill Haley And His Comets,1960-01-02
79,Sweet Nothin's,Brenda Lee,1960-01-02
80,Run Red Run,The Coasters,1960-01-02
81,Promise Me A Rose (A Slight Detail),Anita Bryant,1960-01-02
82,Rockin' Little Angel,Ray Smith,1960-01-02
83,I'm Movin' On,Ray Charles and his Orchestra,1960-01-02
84,Tracy's Theme,Spencer Ross,1960-01-02
85,The Little Drummer Boy,Johnny Cash,1960-01-02
86,Little Things Mean A Lot,Joni James,1960-01-02
87,Riverboat,Faron Young,1960-01-02
88,Harlem Nocturne,The Viscounts,1960-01-02
89,God Bless America,Connie Francis,1960-01-02
90,The Sound Of Music,Patti Page,1960-01-02
91,I Don't Know What It Is,The Bluenotes,1960-01-02
92,Darling Lorraine,The Knockouts,1960-01-02
93,In The Still Of The Nite,The Five Satins,1960-01-02
94,Do-Re-Mi,Mitch Miller,1960-01-02
95,Little Coco Palm,Jerry Wallace,1960-01-02
96,Deck Of Cards,Wink Martindale,1960-01-02
97,One Mint Julep,Chet Atkins,1960-01-02
98,Happy Anniversary,Jane Morgan,1960-01-02
99,Smokie-Part 2,Bill Doggett,1960-01-02
100,One More Chance,Rod Bernard,1960-01-02
